Export 00498 QP-PH-001 12 09 20,,,,,,,
FAIL_00498_QP-PH-001_45923.5716981481,,,,,,,
,,,,,,,
Section,Parameter,Cadet Name,Units,Measured,Min,Max,P/F
,ENG_SPD,Engine Speed,rpm,4003,3985,4015,PASS
Performance,DYN_SPD,Dyno Speed,rpm,4000,3985,4015,PASS
,TORQUE,Loadcell Torque,Nm,507.9,487.6,539,PASS
,BRK_PWR,Power,kW,212.8,210,225.8,PASS
,FUEL_RATE,Measured Mass Flow,g/sec,0.67,13.55,14.95,FAIL
,BSFC,Measured SFC,g/kw-hr,11.23,232.6,244.6,FAIL
Air,INT_MNF_P,Engine Inlet Manifold Pressure,KPA,288,275.6,304.5,PASS
,CMP_IN_T,Cell Ambient Temp,DEG_C,19,0,35,PASS
,INT_MNF_T,Engine Inlet Manifold Temp,DEG_C,48,40,60,PASS
Raw Water,RW_PMP_IN_P,Water In Engine WP1,bar,0.4,,,
,RW_PMP_IN_T,Engine Water In WT1,DEG_C,24,15,35,PASS
Glycol,TS_OT_T,Engine Coolant Temp,DEG_C,86,80.8,91.2,PASS
Oil,OIL_FLT_OT_P,Engine Oil Pressure,KPA,636,541,747,PASS
,OIL_FLT_OT_T,Engine Oil Temp,DEG_C,99,95,116.6,PASS
,FUEL_FLT_OT_T,Engine Fuel Temp,DEG_C,30,10,46,PASS
