Export 00582 QP-PH-025 28 11 20,,,,,,,
PASS_00582_QP-PH-025_45989.5446494213,,,,,,,
,,,,,,,
Section,Parameter,Cadet Name,Units,Measured,Min,Max,P/F
,ENG_SPD,Engine Speed,rpm,4000,3985,4015,PASS
Performance,DYN_SPD,Dyno Speed,rpm,4000,3985,4015,PASS
,TORQUE,Loadcell Torque,Nm,506.5,487.6,539,PASS
,BRK_PWR,Power,kW,212.1,210,225.8,PASS
,FUEL_RATE,Measured Mass Flow,g/sec,14.02,13.55,14.95,PASS
,BSFC,Measured SFC,g/kw-hr,237.99,232.6,244.6,PASS
Air,INT_MNF_P,Engine Inlet Manifold Pressure,KPA,288,275.6,304.5,PASS
,CMP_IN_T,Cell Ambient Temp,DEG_C,19,0,35,PASS
,INT_MNF_T,Engine Inlet Manifold Temp,DEG_C,41,40,60,PASS
Raw Water,RW_PMP_IN_P,Water In Engine WP1,bar,0.4,,,
,RW_PMP_IN_T,Engine Water In WT1,DEG_C,20.3,15,35,PASS
Glycol,TS_OT_T,Engine Coolant Temp,DEG_C,86,80.8,91.2,PASS
Oil,OIL_FLT_OT_P,Engine Oil Pressure,KPA,649,541,747,PASS
,OIL_FLT_OT_T,Engine Oil Temp,DEG_C,95,94,116.6,PASS
,FUEL_FLT_OT_T,Engine Fuel Temp,DEG_C,29,10,46,PASS
