Export 00404 QP-PH-008 02 01 20,,,,,,,
PASS_00404_QP-PH-008_45786.3929071759,,,,,,,
,,,,,,,
Section,Parameter,Cadet Name,Units,Measured,Min,Max,P/F
,ENG_SPD,Engine Speed,rpm,4000,3985,4015,PASS
Performance,DYN_SPD,Dyno Speed,rpm,4000,3985,4015,PASS
,TORQUE,Loadcell Torque,Nm,514.7,487.6,539,PASS
,BRK_PWR,Power,kW,215.6,204.2,225.8,PASS
,FUEL_RATE,Measured Mass Flow,g/sec,14.1,13.55,14.95,PASS
,BSFC,Measured SFC,g/kw-hr,235.38,232.6,244.6,PASS
Air,INT_MNF_P,Engine Inlet Manifold Pressure,KPA,289,275.6,304.5,PASS
,CMP_IN_T,Cell Ambient Temp,DEG_C,4,0,35,PASS
,INT_MNF_T,Engine Inlet Manifold Temp,DEG_C,42,40,60,PASS
Raw Water,RW_PMP_IN_P,Water In Engine WP1,bar,0.33,,,
,RW_PMP_IN_T,Engine Water In WT1,DEG_C,22.1,15,35,PASS
Glycol,TS_OT_T,Engine Coolant Temp,DEG_C,83,80.8,91.2,PASS
Oil,OIL_FLT_OT_P,Engine Oil Pressure,KPA,664,541,747,PASS
,OIL_FLT_OT_T,Engine Oil Temp,DEG_C,97,95,116.6,PASS
,FUEL_FLT_OT_T,Engine Fuel Temp,DEG_C,35,10,46,PASS
